year,age_group,sex,icd_code,hospitalizations
2021,55-59,Male,G31,83
2021,55-59,Male,G32,19
2021,60-64,Female,F00,8
2021,60-64,Female,F01,13
2021,60-64,Female,F02,1
2021,60-64,Female,F03,93
2021,60-64,Female,F06.7,27
2021,60-64,Female,G20,99
2021,60-64,Female,G30,32
2021,60-64,Female,G31,21
2021,60-64,Female,G32,5
2021,60-64,Male,F00,8
2021,60-64,Male,F01,33
2021,60-64,Male,F02,1
2021,60-64,Male,F03,89
2021,60-64,Male,F04,1
2021,60-64,Male,F06.7,23
2021,60-64,Male,G20,148
2021,60-64,Male,G30,36
2021,60-64,Male,G31,69
2021,60-64,Male,G32,22
2021,65-69,Female,F00,28
2021,65-69,Female,F01,34
2021,65-69,Female,F02,5
2021,65-69,Female,F03,121
2021,65-69,Female,F06.7,25
2021,65-69,Female,G20,175
2021,65-69,Female,G30,104
2021,65-69,Female,G31,31
2021,65-69,Female,G32,3
2021,65-69,Male,F00,31
2021,65-69,Male,F01,64
2021,65-69,Male,F02,9
2021,65-69,Male,F03,143
2021,65-69,Male,F04,1
2021,65-69,Male,F06.7,24
2021,65-69,Male,G20,272
2021,65-69,Male,G30,87
2021,65-69,Male,G31,80
2021,65-69,Male,G32,11
2021,70-74,Female,F00,87
2021,70-74,Female,F01,54
2021,70-74,Female,F02,8
2021,70-74,Female,F03,235
2021,70-74,Female,F04,1
2021,70-74,Female,F06.7,33
2021,70-74,Female,G20,301
2021,70-74,Female,G30,285
2021,70-74,Female,G31,27
2021,70-74,Female,G32,3
2021,70-74,Male,F00,62
2021,70-74,Male,F01,86
2021,70-74,Male,F02,11
2021,70-74,Male,F03,274
2021,70-74,Male,F04,3
2021,70-74,Male,F06.7,25
2021,70-74,Male,G20,422
2021,70-74,Male,G30,189
2021,70-74,Male,G31,51
2021,70-74,Male,G32,9
2021,75-79,Female,F00,149
2021,75-79,Female,F01,100
2021,75-79,Female,F02,14
2021,75-79,Female,F03,460
2021,75-79,Female,F06.7,39
2021,75-79,Female,G20,444
2021,75-79,Female,G30,511
2021,75-79,Female,G31,31
2021,75-79,Female,G32,1
2021,75-79,Male,F00,90
2021,75-79,Male,F01,116
2021,75-79,Male,F02,9
2021,75-79,Male,F03,439
2021,75-79,Male,F04,2
2021,75-79,Male,F06.7,40
2021,75-79,Male,G20,505
2021,75-79,Male,G30,333
2021,75-79,Male,G31,62
2021,75-79,Male,G32,3
2021,80+,Female,F00,720
2021,80+,Female,F01,268
2021,80+,Female,F02,28
2021,80+,Female,F03,2419
2021,80+,Female,F04,1
2021,80+,Female,F06.7,135
2021,80+,Female,G20,778
2021,80+,Female,G30,2329
2021,80+,Female,G31,82
2021,80+,Male,F00,299
2021,80+,Male,F01,216
2021,80+,Male,F02,23
2021,80+,Male,F03,1332
2021,80+,Male,F06.7,73
2021,80+,Male,G20,870
2021,80+,Male,G30,1064
2021,80+,Male,G31,93
2021,80+,Male,G32,4
2022,0-4,Female,G31,18
2022,0-4,Male,G30,1
2022,0-4,Male,G31,24
2022,10-14,Female,F06.7,11
2022,10-14,Female,G20,1
2022,10-14,Female,G31,5
2022,10-14,Male,F06.7,9
2022,10-14,Male,G31,6
2022,15-19,Female,F01,1
2022,15-19,Female,F03,1
2022,15-19,Female,F06.7,7
2022,15-19,Female,G30,1
2022,15-19,Male,F03,1
2022,15-19,Male,F06.7,8
2022,15-19,Male,G31,3
2022,20-24,Female,F06.7,14
2022,20-24,Female,G20,1
2022,20-24,Male,F03,1
2022,20-24,Male,F06.7,8
2022,20-24,Male,G31,2
2022,20-24,Male,G32,1
2022,25-29,Female,F03,2
2022,25-29,Female,F06.7,10
2022,25-29,Female,G20,1
2022,25-29,Female,G31,4
2022,25-29,Female,G32,4
2022,25-29,Male,F06.7,14
2022,25-29,Male,G20,1
2022,25-29,Male,G31,3
2022,25-29,Male,G32,1
2022,30-34,Female,F06.7,17
2022,30-34,Female,G20,1
2022,30-34,Female,G31,6
2022,30-34,Female,G32,2
2022,30-34,Male,F03,1
2022,30-34,Male,F04,1
2022,30-34,Male,F06.7,8
2022,30-34,Male,G20,2
2022,30-34,Male,G30,1
2022,30-34,Male,G31,6
2022,30-34,Male,G32,4
2022,35-39,Female,F03,4
2022,35-39,Female,F06.7,7
2022,35-39,Female,G20,4
2022,35-39,Female,G31,3
2022,35-39,Female,G32,3
2022,35-39,Male,F01,1
2022,35-39,Male,F03,8
2022,35-39,Male,F06.7,9
2022,35-39,Male,G20,8
2022,35-39,Male,G30,1
2022,35-39,Male,G31,11
2022,35-39,Male,G32,4
2022,40-44,Female,F01,1
2022,40-44,Female,F03,2
2022,40-44,Female,F06.7,17
2022,40-44,Female,G20,6
2022,40-44,Female,G31,5
2022,40-44,Female,G32,1
2022,40-44,Male,F03,6
2022,40-44,Male,F06.7,10
2022,40-44,Male,G20,6
2022,40-44,Male,G31,19
2022,40-44,Male,G32,5
2022,45-49,Female,F03,2
2022,45-49,Female,F04,1
2022,45-49,Female,F06.7,4
2022,45-49,Female,G20,6
2022,45-49,Female,G30,1
2022,45-49,Female,G31,8
2022,45-49,Female,G32,1
2022,45-49,Male,F01,1
2022,45-49,Male,F03,7
2022,45-49,Male,F06.7,19
2022,45-49,Male,G20,13
2022,45-49,Male,G30,2
2022,45-49,Male,G31,32
2022,45-49,Male,G32,16
2022,5-9,Female,F06.7,4
2022,5-9,Female,G30,1
2022,5-9,Female,G31,6
2022,5-9,Male,F06.7,4
2022,5-9,Male,G20,1
2022,5-9,Male,G31,10
2022,50-54,Female,F00,2
2022,50-54,Female,F01,4
2022,50-54,Female,F03,14
2022,50-54,Female,F06.7,16
2022,50-54,Female,G20,22
2022,50-54,Female,G30,5
2022,50-54,Female,G31,14
2022,50-54,Female,G32,1
2022,50-54,Male,F01,8
2022,50-54,Male,F02,1
2022,50-54,Male,F03,10
2022,50-54,Male,F04,2
2022,50-54,Male,F06.7,15
2022,50-54,Male,G20,25
2022,50-54,Male,G30,1
2022,50-54,Male,G31,64
2022,50-54,Male,G32,21
2022,55-59,Female,F00,2
2022,55-59,Female,F01,8
2022,55-59,Female,F02,1
2022,55-59,Female,F03,41
2022,55-59,Female,F04,1
2022,55-59,Female,F06.7,23
2022,55-59,Female,G20,63
2022,55-59,Female,G30,12
2022,55-59,Female,G31,19
2022,55-59,Female,G32,5
2022,55-59,Male,F00,1
2022,55-59,Male,F01,17
2022,55-59,Male,F03,55
2022,55-59,Male,F06.7,25
2022,55-59,Male,G20,69
2022,55-59,Male,G30,3
2022,55-59,Male,G31,72
2022,55-59,Male,G32,13
2022,60-64,Female,F00,11
2022,60-64,Female,F01,16
2022,60-64,Female,F02,1
2022,60-64,Female,F03,84
2022,60-64,Female,F06.7,13
2022,60-64,Female,G20,116
2022,60-64,Female,G30,51
2022,60-64,Female,G31,23
2022,60-64,Female,G32,7
2022,60-64,Male,F00,12
2022,60-64,Male,F01,34
2022,60-64,Male,F02,3
2022,60-64,Male,F03,103
2022,60-64,Male,F04,4
2022,60-64,Male,F06.7,29
2022,60-64,Male,G20,168
2022,60-64,Male,G30,50
2022,60-64,Male,G31,71
2022,60-64,Male,G32,22
2022,65-69,Female,F00,25
2022,65-69,Female,F01,44
2022,65-69,Female,F02,8
